uid,age,group,bw
46,4.000,Rapamycin,35.900
46,5.000,Rapamycin,34.200
46,6.000,Rapamycin,34.700
46,7.000,Rapamycin,35.900
46,8.000,Rapamycin,36.000
46,9.000,Rapamycin,36.800
46,10.000,Rapamycin,37.000
46,11.000,Rapamycin,37.600
52,-0.286,Rapamycin,41.300
52,0.000,Rapamycin,38.500
52,1.000,Rapamycin,37.300
52,2.000,Rapamycin,36.100
52,3.000,Rapamycin,35.900
52,3.429,Rapamycin,36.700
52,4.000,Rapamycin,36.900
52,5.000,Rapamycin,36.200
52,6.000,Rapamycin,36.000
52,7.000,Rapamycin,36.300
52,8.000,Rapamycin,36.200
52,9.000,Rapamycin,36.900
52,10.000,Rapamycin,38.500
52,11.000,Rapamycin,38.000
56,-0.286,Rapamycin,33.900
56,0.000,Rapamycin,32.600
56,1.000,Rapamycin,33.000
56,2.000,Rapamycin,31.900
56,3.000,Rapamycin,31.300
56,3.429,Rapamycin,31.200
56,4.000,Rapamycin,31.300
56,5.000,Rapamycin,30.400
56,6.000,Rapamycin,30.200
56,7.000,Rapamycin,30.400
56,8.000,Rapamycin,30.000
56,9.000,Rapamycin,30.200
56,10.000,Rapamycin,30.400
56,11.000,Rapamycin,30.700
59,-0.286,Rapamycin,39.500
59,0.000,Rapamycin,37.300
59,1.000,Rapamycin,35.900
59,2.000,Rapamycin,35.500
59,3.000,Rapamycin,34.100
59,3.429,Rapamycin,34.200
59,4.000,Rapamycin,35.800
59,5.000,Rapamycin,34.300
59,6.000,Rapamycin,32.900
59,7.000,Rapamycin,34.700
59,8.000,Rapamycin,34.300
59,9.000,Rapamycin,35.400
59,10.000,Rapamycin,35.700
59,11.000,Rapamycin,35.600
63,-0.286,Rapamycin,35.900
63,0.000,Rapamycin,34.100
63,1.000,Rapamycin,34.500
63,2.000,Rapamycin,33.700
63,3.000,Rapamycin,33.500
63,3.429,Rapamycin,34.000
63,4.000,Rapamycin,34.200
63,5.000,Rapamycin,34.200
63,6.000,Rapamycin,33.200
63,7.000,Rapamycin,33.100
63,8.000,Rapamycin,33.100
63,9.000,Rapamycin,33.600
63,10.000,Rapamycin,33.600
63,11.000,Rapamycin,34.000
70,-0.286,Rapamycin,47.700
70,0.000,Rapamycin,46.200
70,1.000,Rapamycin,40.300
70,2.000,Rapamycin,37.400
70,3.000,Rapamycin,36.000
70,3.429,Rapamycin,35.900
70,4.000,Rapamycin,35.500
70,5.000,Rapamycin,35.200
70,6.000,Rapamycin,34.300
70,7.000,Rapamycin,35.200
70,8.000,Rapamycin,35.600
70,9.000,Rapamycin,36.800
70,10.000,Rapamycin,36.400
70,11.000,Rapamycin,35.800
74,-0.286,Rapamycin,51.700
74,0.000,Rapamycin,48.300
74,1.000,Rapamycin,44.400
74,2.000,Rapamycin,42.200
74,3.000,Rapamycin,40.300
74,3.429,Rapamycin,39.900
74,4.000,Rapamycin,39.500
74,5.000,Rapamycin,38.500
74,6.000,Rapamycin,36.800
74,7.000,Rapamycin,37.200
74,8.000,Rapamycin,38.200
74,9.000,Rapamycin,37.800
74,10.000,Rapamycin,37.900
74,11.000,Rapamycin,38.000
88,-0.286,Rapamycin,37.200
88,0.000,Rapamycin,35.300
88,1.000,Rapamycin,34.900
88,2.000,Rapamycin,34.100
88,3.000,Rapamycin,32.900
88,3.429,Rapamycin,33.600
88,4.000,Rapamycin,33.900
88,5.000,Rapamycin,32.400
88,6.000,Rapamycin,32.000
88,7.000,Rapamycin,33.200
88,8.000,Rapamycin,32.900
88,9.000,Rapamycin,33.300
88,10.000,Rapamycin,32.900
88,11.000,Rapamycin,33.200
95,-0.286,Rapamycin,47.200
95,0.000,Rapamycin,44.300
95,1.000,Rapamycin,40.500
95,2.000,Rapamycin,39.000
95,3.000,Rapamycin,36.400
95,3.429,Rapamycin,37.100
95,4.000,Rapamycin,36.200
95,5.000,Rapamycin,35.600
95,6.000,Rapamycin,35.100
95,7.000,Rapamycin,36.100
95,8.000,Rapamycin,36.200
95,9.000,Rapamycin,37.600
95,10.000,Rapamycin,38.400
95,11.000,Rapamycin,36.000
106,-0.286,Rapamycin,40.200
106,0.000,Rapamycin,37.800
